,Condition,id
842,Anxiousness associated with Depression,139725
843,Mental Disorder with Loss of Normal Personality & Reality,139727
844,Absence of Menstrual Periods,139728
845,Obstruction of a Blood Vessel by a Blood Clot,139729
846,Deep Vein Thrombosis Prevention,139730
847,High Amount of Triglyceride in the Blood,139731
848,Deep Vein Thrombosis Prevention in Abdominal Surgery,139732
849,Deep Vein Thrombosis Prevention in Knee Replacement,139733
850,Treatment to Prevent a Blood Clot in the Lung,139734
851,Blood Clot in a Deep Vein,139736
852,Changes Involving Fatty Deposits in the Blood Vessels,139737
853,Blood Clots in Deep Veins and in Blood Vessel of the Lung,139738
854,Blood Clot Prevention Following Percutaneous Coronary Intervention,139739
855,Combined High Blood Cholesterol and Triglyceride Level,139740
856,Prevention of Cardiac Ischemia Following Non-Q Wave MI,139741
857,Ringworm of the Body,139742
858,Ringworm of Groin Area,139743
859,Athlete's Foot,139744
860,Fungal Infection of the Skin with Yellow Patches,139745
861,Diarrhea Predominant Irritable Colon,139746
862,Stroke Prevention,139747
863,Primary Prevention of Heart Attack,139748
864,Skin Infection due to a Candida Yeast,139749
865,Treatment to Prevent a Heart Attack,139750
866,Heterozygous Inherited High Blood Cholesterol,139751
867,Deep Vein Thrombosis Prevention in Hip Surgery,139752
868,Prevention of Recurrent Vein Thrombosis in Cancer,139753
869,Acute Blood Clot in a Blood Vessel Supplying the Lungs,139755
870,Inflammation of the Eye,139756
871,Allergic Conjunctivitis,139757
872,Prevention for Hardening of the Arteries,139758
873,Slow Progression of Disease of the Arteries of the Heart,139760
874,Myocardial Reinfarction Prevention,139761
875,Inflammation of the Eye Following Surgery,139762
876,Kidney Problem caused by Body Tissue Disease-Scleroderma,139764
877,Inflammation of the Iris and Ciliary Body of the Eye,139765
878,Herpes Zoster Infection of the Cornea & Conjunctiva of Eye,139766
879,Acute Syndrome of the Heart,139768
880,Weight Loss Management for Overweight Person with BMI 27 to 29 and Weight-Related Comorbidity,139770
881,Weight Loss Management for an Obese Person,139771
882,Anxious,139772
883,Repeated Seizures with Unconsciousness Between Episodes,139773
884,Kidney Disease from Diabetes,139774
885,"Mania associated with Bipolar Disorder, Adjunct Treatment",139775
886,Delirium,139776
887,High Amount of Fats in the Blood,139777
888,Unpredictable Severe Constricting Chest Pain,139778
889,Chronic Trouble Sleeping,139779
890,Severe Uncontrolled High Blood Pressure,139780
891,Prevention of Recurrent Atrial Fibrillation,139781
892,Inflammation of the Nose due to an Allergy,139782
893,Premenstrual Disorder with a State of Unhappiness,139783
894,Seasonal Runny Nose,139784
895,Non-Seasonal Allergic Runny Nose,139785
896,Prevent Nausea and Vomiting from Cancer Chemotherapy,139786
897,Sneezing,139787
898,Itching,139788
899,Chronic Heart Failure,139789
900,Nausea and Vomiting caused by Cancer Drugs,139790
901,Involuntary Quivering,139791
902,Hives,139792
903,Tension Headache,139793
904,Persistent Hives of Unknown Cause,139794
905,Welt from Pressure on Skin,139795
906,Psychosis caused by Sudden Alcohol Withdrawal,139796
907,Symptoms from Alcohol Withdrawal,139797
908,Post-Menopausal Osteoporosis Prevention,139798
909,Fungal Disease of the Nails,139799
910,Abnormal Heart Rhythm,139800
911,Overactive Thyroid causing Life-Threatening Symptoms,139801
912,A Feeling of Restlessness with Inability to Sit Still,139802
913,Ventricular Rate Control in Atrial Fibrillation,139803
914,Hypertrophic Cardiomyopathy,139804
915,Low HDL Cholesterol,139805
916,Diarrhea due to Inflammatory Bowel Disease,139807
917,Diarrhea caused by Chemotherapy,139808
918,Chronic Stable Angina,139809
919,Mitral Valve Prolapse Syndrome,139810
920,Colon and Rectal Cancer that has Spread to Another Area,139811
921,Malignant Brain Tumor Glioblastoma,139813
922,Brain Tumor,139814
923,Prevention of Bronchospasm with Chronic Bronchitis,139815
924,Hypertension with Left Ventricular Hypertrophy,139816
925,High Amount of Potassium in the Blood,139818
926,Joint Damage causing Pain and Loss of Function,139820
927,Reddish Nodules Arranged in a Circle On the Skin,139821
928,Inflammation of Skin caused by an Allergy,139822
929,Psoriasis of Scalp,139825
930,Skin Condition,139827
931,Inflammation of the Sac Surrounding the Joint - Bursitis,139828
932,Nondiabetic Proteinuric Nephropathy,139830
933,Rash,139831
934,Contact Dermatitis,139832
935,Skin Rash that Becomes Thick & Discolored From Rubbing It,139833
936,Inflammation of the Tendon,139834
937,Rheumatic Disease causing Pain & Stiffness in Backbone,139835
938,Joint Inflammatory Disease in Children and Young Adults,139836
939,Dryness of the Nose,139837
940,Struvite Kidney Stones,139839
941,Manic-Depression,139840
942,Mania associated with Bipolar Disorder,139841
943,Additional Medications to Treat Depression,139842
944,Bipolar Depression,139843
945,Bipolar Disorder in Remission,139844
946,Rapid Cycle Manic-Depression,139845
947,Defective Internal Secretion of Ovaries,139846
948,Cluster Headache Prevention,139847
949,Diastolic Heart Failure,139848
950,Failure of the Left Ventricle of the Heart,139849
951,Retinal Changes of Eye in a Patient with Diabetes,139850
952,Recurring Sleep Episodes During the Day,139851
953,Attention Deficit Disorder with Hyperactivity,139852
954,Type 2 Diabetes Mellitus,139853
955,Oily Skin,139854
956,Dry Eye,139855
957,Drying and Inflammation of Cornea and Conjunctiva of Eyes,139856
958,Acne Rosacea,139857
959,Corn,139858
960,Minor Skin Wound Pain,139859
961,Stomach Ulcer,139860
962,Prevention of Vitamin B12 Deficiency,139861
963,Inflammation of the Nose,139862
964,Cancer of the Ovary,139864
965,Pancreas Organ Failure,139865
966,Prevention of Transient Ischemic Attacks,139866
967,Mild Underactive Thyroid,139868
968,Chronic Difficulty having a Bowel Movement,139869
969,Serious Decrease in Thyroid Function,139870
970,T3 Suppression for Thyroid Function Test,139872
971,Irritable Bowel Syndrome with Constipation,139873
972,Thyroid Cancer,139874
973,Decreased Thyroid Function existing from Birth,139875
974,Increased Triglycerides and Cholesterol,139876
975,Muscle Spasms due to a Brain Disease,139877
976,Infection due to Vancomycin-Resistant Enterococcus Faecium,139878
977,Diabetic with Foot Infection due to a Specific Bacteria,139879
978,Complicated Skin Infection by Streptococcus Agalactiae,139880
979,Complicated Skin Infection due to Staphyloccus Aureus Bacteria,139881
980,Homozygous Inherited High Blood Cholesterol,139882
981,Simple Goiter,139883
982,Bacterial Infection caused by Streptococcus pneumoniae,139884
983,Infection caused by the Bacteria Streptococcus,139885
984,Bacterial Infection due to Staphylococcus,139886
985,Administration of Local Anesthetic Drug,139888
986,Skin Irritation,139890
987,Mouth Irritation,139891
988,Local Anesthesia for Urethral Pain,139892
989,Suppression of the Gag Reflex,139893
990,Local Anesthesia Injected in Subarachnoid Space of Spine,139894
991,Presence of Head Lice,139895
992,Ulcerative Colitis currently Without Symptoms,139896
993,Ulcerated Colon,139898
994,Irritable Colon,139899
995,Ulcer from Stomach Acid,139900
996,Puberty at an Earlier Age than would be expected,139901
997,Advanced Form of Prostate Cancer,139902
998,Low Red Blood Count due to Uterine Fibroids,139903
999,Pompe Disease,139904
1000,Wide-Angle Glaucoma,139905
1001,Red Eyes,139906
1002,Increased Pressure in the Eye,139907
1003,Postcoital Contraception,139908
1004,Iodine Deficiency,139909
1005,Narcotic Addiction,139911
1006,Symptoms from Stopping Treatment with Opioid Drugs,139912
1007,Blockage of Branch Blood Vein in Eye's Retina with Edema,139913
1008,Age-Related Wet Macular Degeneration,139914
1009,Formation of New Blood Vessels in the Choroid of the Eye,139915
1010,Emptying of the Bowel,139917
1011,Incomplete or Infrequent Bowel Movements,139918
1012,Breakthrough Cancer Pain in Opioid-Tolerant Patient,139919
1013,Increased Number of Eyelashes,139920
1014,Reduced Eyelash Growth,139921
1015,Visible Water Retention,139922
1016,Accumulation of Fluid Resulting from Chronic Heart Failure,139923
1017,"Hormone Receptor Positive, HER2 Positive Metastatic Breast Cancer",139924
1018,HER2 Positive Breast Cancer,139925
1019,Diabetes,139926
1020,Type 1 Diabetes Mellitus,139927
1021,Fluid in the Lungs due to Chronic Heart Failure,139928
1022,High Amount of Phosphate in the Blood,139929
1023,High Blood Sugar,139930
1024,Ascites,139931
1025,Condition in which Stomach Acid is Pushed Into the Esophagus,139932
1026,Heartburn,139933
1027,Conditions of Excess Stomach Acid Secretion,139934
1028,Excessive Production of Stomach Acid,139935
1029,Medication Treatment for Healing Erosive Esophagitis,139936
1030,Inflammation of the Esophagus with Erosion,139937
1031,"Bleeding from Stomach, Esophagus or Duodenum",139938
1032,Stomach Ulcer from Aspirin/Ibuprofen-Like Drugs Prevention,139939
1033,Having a Rapid Heart Action - Supraventricular Tachycardia,139940
1034,A Type of Fast Heartbeat - Paroxysmal Atrial Tachycardia,139941
1035,Chronic Heart Failure Not Suddenly Currently Controlled by Medication,139942
1036,High Amount of Calcium in the Blood,139943
1037,Epileptic Seizure,139944
1038,Simple Partial Seizures,139945
1039,Convulsive Seizures,139946
1040,HIV,138141
1041,Fungal Infection of Toenails,139947
1042,Fungal Infection of Fingernails - Onychomycosis,139948
1043,Chronic Fungal Infection of Skin,139949
1044,Fit,139950
1045,Ringworm of Scalp,139951
1046,Epilepsy of the Lennox Gastaut Syndrome,139952
1047,High Amount of Ammonium in the Blood,139953
1048,Impaired Brain Function due to Liver Disease,139954
1049,Inability of Body to Handle Lactose or Milk Sugar,139955
1050,Medication to Aid Study of the Blood Flow in the Heart,139956
1051,Red Patches from Sun Exposure on the Face or Scalp,139957
1052,Skin Lesions that are Not Thick due to Sun Exposure,139958
1053,Increased Production of Saliva,139959
1054,Enlarged Thyroid Gland,139960
1055,A Progressive Disease of the Thyroid Gland,139961
1056,Problems with Bladder Control,139962
1057,Panic Disorder,139964
1058,Major Depressive Disorder,139965
1059,Obsessive Compulsive Disorder,139966
1060,Posttraumatic Stress Syndrome,139967
1061,Additional Treatment for Thyroid Cancer,139968
1062, ,138164
1063,Additional Medications for Treating Pheochromocytoma,139971
1064,Increased amount of Homocysteine in the Blood,139972
1065,Severely Low Blood Pressure,139973
1066,Sudden Drop in Blood Pressure,139974
1067,Treatment To Prevent Vitamin Deficiency,139975
1068,Lack in Vitamins,139976
1069,Bacterial Pneumonia caused by Staphylococcus,139977
1070,Infection of Urinary Tract with Complications,139978
1071,High Blood Levels of Methotrexate,139979
1072,Urinary Tract Infection due to E. Coli Bacteria,139980
1073,Bacterial Urinary Tract Infection,139981
1074,Bacterial Infection of Kidney due to E. Coli Organism,139982
1075,Complicated Skin Infection,139983
1076,Urinary Tract Infection caused by Klebsiella Bacteria,139984
1077,Bacterial Pneumonia caused by Streptococcus pneumoniae,139985
1078,Bacterial Pneumonia caused by Haemophilus Influenzae,139986
1079,Bacterial Infection with Bronchitis,139987
1080,Pneumonia caused by Bacteria,139988
1081,Acute Inflammation of the Maxillary Sinus,139989
1082,Inadequate Folic Acid,139990
1083,infection caused by bacteria,139991
1084,Bacterial Infection with Chronic Bronchitis,139992
1085,Bacterial Stomach or Intestine Infection caused by Anthrax,139993
1086,Bronchitis caused by the Bacteria Staphylococcus Aureus,139994
1087,Bronchitis caused by the Bacteria Haemophilus Influenzae,139995
1088,Acute Maxillary Sinus H. Influenzae Bacteria Infection,139996
1089,Bronchitis caused by Haemophilus Parainfluenzae Bacteria,139997
1090,Acute Maxillary Sinus S. Pneumoniae Bacteria Infection,139998
1091,Acute Maxillary Sinus M. Catarrhalis Bacteria Infection,139999
1092,Bacterial Infection of the Kidney and Renal Pelvis,140000
1093,Bronchitis caused by the Bacteria Streptococcus Pneumoniae,140001
1094,Bacterial Pneumonia caused by Streptococcus,140002
1095,Carnitine Deficiency,140003
1096,Treatment to Prevent Traveler's Diarrhea,140004
1097,Bronchitis caused by the Bacteria Moraxella Catarrhalis,140005
1098,TB involving the Lungs,140006
1099,Chronic Infection of the Prostate due to Staphylococcus epidermidis,140007
1100,Inability to have an Erection,140008
1101,Skin Infection,140009
1102,Additional Medication for Tonic-Clonic Epilepsy,140010
1103,Additional Medication for Myoclonic Epilepsy,140011
1104,Diabetes Mellitus with Severe Insulin Resistance,140012
1105,Infection of the Urinary Tract caused by Proteus Bacteria,140013
1106,A Condition of Bladder Dysfunction from Nerve Disorder,140014
1107,Bronchospasm,140015
1108,Asthma Attack,140016
1109,Bacterial Pneumonia caused by Klebsiella,140017
1110,Chronic Infection of the Prostate due to E. coli,140018
1111,Staphylococcus Saprophyticus Infection of Urinary Tract,140019
1112,Prevention of Plague Following Exposure to Plague,140020
1113,Infection of the Urinary Tract caused by Enterococcus,140021
1114,Pneumonia caused by Mycoplasma Pneumoniae,140022
1115,Female Problems Causing Trouble in Getting Pregnant,140023
1116,Neutrophils Decreased by Medication,140024
1117,Chronic Lymphoid Leukemia,140025
1118,Destruction of Red Blood Cells by Body's Own Antibodies,140027
1119,Waldenstrom's Macroglobulinemia,140028
1120,Hormone Receptor Positive Postmenopausal Early Breast Cancer,140029
1121,Infertility associated with the Lack of Ovulation,140030
1122,Hormone Receptor Positive Breast Cancer,140031
1123,Hormone Receptor Positive Postmenopausal Early Breast Cancer After Adjuvant Tamoxifen,140032
1124,Breast Cancer that has Spread to Another Part of the Body,140033
1125,Stimulation of Ovarian Function,140034
1126,Postmenopausal Advanced Breast Cancer Post-Antiestrogen Therapy,140035
1127,Pulmonary Arterial Hypertension,140036
1128,Hormone Receptor Positive Postmenopausal Advanced Breast Cancer,140037
1129,Differentiated Thyroid Cancer,140038
1130,Liver Cell Cancer,140039
1131,Cancer Involving the Kidney Cells,140040
1132,Pneumonia caused by the Bacteria Anthrax,140041
1133,Relapsing Form of Multiple Sclerosis,140043
1134,Skin Infection due to Staphylococcus Aureus Bacteria,140044
1135,Chronic Hepatitis C,140045
1136,Chronic Infection of Genotype 4 Hepatitis C Virus,140046
1137,Complicated Skin Infection due to Proteus Bacteria,140047
1138,Common Wart,140048
1139,Blood Clot in Lung,140049
1140,Severe Heart Failure,140050
1141,Blood Clot,140051
1142,Abnormal Increase in Ability of Blood to Clot,140052
1143,Blood Clot caused by Artificial Heart Valve,140053
1144,Treatment to Prevent Blood Clots in Chronic Atrial Fibrillation,140054
1145,Heart Failure with Paroxysmal Atrial Fibrillation,140055
1146,Ear Congestion,140056
1147,Flu-Like Symptoms,140057
1148,Prevention for a Blood Clot going to the Brain,140060
1149,Pneumonia caused by Gram-Negative Bacteria,140061
1150,Sensation of Spinning or Whirling,140062
1151,Treatment to Prevent Nausea and Vomiting,140063
1152,Pneumonia due to Methicillin-Sensitive Staphylococcus Aureus Acquired in Hospital,140065
1153,Collagenous Colitis,140066
1154,Psoriasis associated with Arthritis,140067
1155,Pneumonia caused by the Bacteria Pseudomonas Aeruginosa,140069
1156,Diabetic Foot Infection,140070
1157,Chlamydia Trachomatis Infection of Female Pelvic Organs,140072
1158,Severe Sinusitis caused by Haemophilus Influenzae,140073
1159,Infection of the Urethra caused by Chlamydia Trachomatis,140074
1160,Middle Ear Infection,140075
1161,AIDS with Toxoplasmosis,140076
1162,Strep Throat and Tonsillitis,140077
1163,Severe Episode of Chronic Bronchitis due to H. Flu,140078
1164,Severe Sinusitis caused by Streptococcus Pneumoniae,140079
1165,Intestinal Infection due to Campylobacter,140080
1166,Mycobacterium Avium Bacteria Infection,140081
1167,Whooping Cough,140082
1168,Infection of the Middle Ear by S. Pneumoniae Bacteria,140083
1169,Infection of the Middle Ear by H. Influenzae Bacteria,140084
1170,Acute Gonorrhea of the Urethra,140085
1171,Chlamydia Coinfection with Rectal Gonorrhea,140086
1172,Prevention of Mycobacterium Avium Complex Disease,140087
1173,Skin Infection due to Streptococcus Pyogenes Bacteria,140088
1174,Severe Episode of Chronic Bronchitis by M. Catarrhalis,140089
1175,Bacterial Infection of Cervix due to Chlamydia Trachomatis,140090
1176,Severe Sinusitis caused by Moraxella Catarrhalis,140091
1177,Chronic Infection of the Prostate due to Enterococcus faecalis,140093
1178,Hospital-Acquired Pseudomonas Aeruginosa Pneumonia Treated with Multiple Drugs,140094
1179,Treatment to Prevent Bacterial Infection of a Heart Valve,140095
1180,Pneumonia due to the Bacteria Haemophilus Parainfluenzae,140096
1181,Chlamydia Coinfection with Gonorrhea of the Throat,140097
1182,Severe Episode of Chronic Bronchitis due to Streptococcus Pneumoniae,140098
1183,Infection of the Middle Ear caused by Streptococcus,140099
1184,Middle Ear Infection caused by Moraxella Catarrhalis,140100
1185,Bacterial Pneumonia caused by Staphylococcus Aureus,140101
1186,Vasomotor Rhinitis,140102
1187,Pink Eye from Bacterial Infection,140103
1188,Infection of Female Pelvic Organs caused by Klebsiella,140104
1189,Liver Inflammation caused by Body's Own Immune Response,140105
1190,Prevention of Lung Transplant Rejection,140107
1191,Inflammation of Skin and Muscles All Over the Body,140109
1192,Bone Marrow Disorders Occurring Before Leukemia,140110
1193,Blistering Skin Diseases,140111
1194,Prevent Kidney Transplant Rejection,140113
1195,Inflammation of Multiple Voluntary Muscles,140114
1196,Thrush,140116
1197,"Candida Fungus Infection of Mouth, Skin, Nails or Vagina",140117
1198,Stomach and Intestinal Infection caused by the Fungus Candida,140118
1199,Severe Low Platelet Count in Unresponsive Chronic ITP,140119
1200,Treatment for Prevention of Disseminated Candidiasis,140120
1201,Prevention of Invasive Pulmonary Aspergillosis,140121
1202,Diabetic Ketoacidosis,140122
1203,Test Performed to Diagnose Growth Hormone Problems,140123
1204,An Insufficiency in Ovulation,140124
1205,Anemia from Inadequate Iron,140125
1206,Type of Angina Where Chest Pain Occurs at Rest,140126
1207,Heart Ventricle Rhythm Problem,140127
1208,Atrial Fibrillation Electrically Shocked to Normal Rhythm,140128
1209,Feeling Dizzy Upon Standing from Blood Pressure Drop,140129
1210,Abnormal Uterine Bleeding caused by Imbalance of Hormones,140131
1211,Absence of Menstrual Periods in Woman Who Has Had Them,140132
1212,Growth Hormone Deficiency Dwarfism,140133
1213,Growth Hormone Deficiency in an Adult,140134
1214,Sinus Headache,140135
1215,Backache,140137
1216,Urination During the Night,140138
1217,Stop Smoking,140139
1218,Headache caused by Disorder of Cranial Blood Vessels,140140
1219,Migraine Headache,140141
1220,Drowsiness,140142
1221,Low Energy,140143
1222,Absence of Breathing in the Newborn,140144
1223,Nicotine Addiction,140145
1224,Sleepiness Due To Shift Work Sleep Disorder,140146
1225,Sleepiness Due To Obstructive Sleep Apnea,140147
1226,Psychosis associated with Parkinson's Disease,140148
1227,Dry Mouth,140149
1228,Uncontrolled Emotions related to Neurologic Disease,140150
1229,Skin Discoloration,140151
1230,Severe Pain,140153
1231,Minor Skin Infection caused by Bacteria,140154
1232,Essential Tremor,140155
1233,Inflammation of Uvea of the Eye not caused by Infection,140156
1234,Blockage of Central Blood Vein in Eye's Retina with Edema,140157
1235,Inadequate Vitamin B12,140158
1236,Abnormally Increased Pressure in the Veins of the Liver,140159
1237,Prevent Bleeding Varicose Vein in the Esophagus,140160
1238,Pain Originating From a Nerve,140161
1239,Prevention of Ventricular Arrhythmia due to Congenital Long QT Syndrome,140162
1240,Extreme Discomfort in Calves when Sitting or Lying Down,140163
1241,Habit of Drinking Too Much Alcohol,140164
1242,Hemorrhage Following Delivery of Baby,140165
1243,Overactive Bladder,140166
1244,Needing to Urinate Immediately,140167
1245,Urine Leakage When there is a Strong Desire to Void,140168
1246,Frequent Urination,140169
1247,Severe Pain with Opioid Tolerance,140170
1248,Chronic Pain with Narcotic Drug Tolerance,140171
1249,Anemia due to Depressed Bone Marrow,140172
1250,Severe Chronic Pain in Opioid-Tolerant Pediatric Patient (11 Years of Age and Older),140173
1251,Severe Psoriasis that is Resistant to Treatment,140174
1252,Facial Nerve Pain,140175
1253,Simple Seizure,140176
1254,neurotrophic keratitis,140178
1255,Failure to Grow,140179
1256,Inherited Disorder of Continuing Episodes of Swelling,140180
1257,asthma with elevated level of eosinophils,140181
1258,Allergic Asthma that is Resistant to Treatment,140182
1259,Metabolic Process Which Breaks Down Substances in the Body,140183
1260,Blood Infection caused by Staphylococcus Aureus Bacteria,140184
1261,Infection of Artificial Heart Valve due to Staphylococcus,140185
1262,Lymph Node Positive Colon Cancer,140186
1263,Cancer of Large Intestine,140187
1264,Cancer of the Pancreas,140188
1265,Infection of Bone,140189
1266,Non-Small Cell Lung Cancer,140190
1267,Cancer of the Uterus,140191
1268,Suddenly Serious Symptoms of Heart Failure,140192
1269,Deficient Activity of the Testis,140193
1270,Deficiency of a Substance that Promotes Masculinization,140194
1271,Deficiency of Luteinizing Hormone-Releasing Hormone,140195
1272,Primary Testicular Failure due to Inflammation of Testis,140196
1273,Pituitary Hormone Deficiency,140197
1274,Low Blood Calcium in Person with Hypoparathyroidism,140198
1275,Pregnancy,140199
1276,Prevention of Fetal Neural Tube Defects when Pregnant,140200
1277,Multiple Sclerosis Symptoms Return then Become Less Severe,140201
1278,Allergic Rhinitis Prevention,140202
1279,Chronic Inflammation of the Nose Not due to Allergies,140203
1280,Infection of the Lining of the Eye caused by a Fungus,140204
1281,Fungal Infection of the Cornea of the Eye,140205
1282,Anemia caused by Vitamin B12 Deficiency-Pernicious Anemia,140206
1283,Regional Anesthesia for Post-Operative Pain,140207
1284,Reaction due to an Allergy,140208
1285,Rheumatoid Arthritis and High Risk of Developing Gastric Ulcers,140210
1286,Osteoarthritis and High Risk of Developing Gastric Ulcers,140211
1287,Mild Pain associated with Arthritis,140212
1288,Head Pain,140213
1289,Fever,140214
1290,Minor Musculoskeletal Injury,140215
1291,Inflammation of the Covering of the Tendon,140216
1292,Inflammation of the Lining of a Joint,140217
1293,Eye Itching,140218
1294,Moderate to Severe Alzheimer's Type Dementia,140219
1295,Adjunct Treatment of Obesity in a Comprehensive Weight Reduction Regimen,140220
1296,Toxic Amount of Narcotics in the Body,140221
1297,Decrease in Rate & Depth of Breathing due to Opioid Drug,140222
1298,Prevention of Opiate Drug Abuse,140223
1299,Opiate Pain Medication causing Severe Constipation,140224
1300,Arthritis,140225
1301,Severe Infection caused by Staphylococcal Bacteria,140226
1302,Infection of a Joint caused by Staphylococcus Aureus,140227
1303,Thyroid Cancer that has Spread to Another Part of Body,140229
1304,Postoperative Pain in Eye,140230
1305,Severe Diarrhea,140231
1306,Prevent Decreased White Blood Cell Count from Cancer Chemotherapy,140232
1307,Severe Chronic Decrease of Neutrophils in the Blood,140233
1308,Decrease of Neutrophils in the Blood from Cancer Chemotherapy,140234
1309,A Mother who is Producing Milk and Breastfeeding,140235
1310,High Eye Pressure or Glaucoma that May Worsen without Treatment,140236
1311,Fungal Infection of Skin,140237
1312,Metastatic Malignant Melanoma,140238
1313,Angina Pectoris Prevention,140239
1314,Anal Fissure,140240
1315,Skin Infection due to a Bacteria,140241
1316,Outer Ear Inflammation caused by Allergy or Infection,140242
1317,Chronic Middle Ear Inflammation with Discharge of Pus,140243
1318,Failure of a Blood Vessel of the Heart to Close at Birth,140244
1319,Bacterial Infection of the Eyelid,140245
1320,Inflammation of Eyelid Edges and the Lining of the Eye,140246
1321,Infection Confined to the Surface of the Eye,140247
1322,Preparation of Bowel for Surgical Procedure,140248
1323,Urinary Tract Infection Prevention,140249
1324,Bladder Infection caused by Enterobacter,140250
1325,Urinary Tract Infection caused by Staphylococcus Aureus,140251
1326,Infection that causes Diarrhea - Giardiasis,140252
1327,idiopathic pulmonary fibrosis,140253
1328,Lung Fibrosis,140254
1329,Hemorrhage in the Subarachnoid Space of the Brain,140255
1330,Skeletal Muscle Relaxation for Tube Insertion Into Trachea,140256
1331,Cancer of Prostate that has Spread to Other Part of Body,140257
1332,Chronic Phase Chronic Myeloid Leukemia,140258
1333,Type of Leukemia - Chronic Myelogenous Leukemia,140259
1334,Philadelphia Chromosome Positive Chronic Myelocytic Leukemia,140260
1335,PCP Prophylaxis,140261
1336,Prevention of Cardiac Transplant Rejection,140262
1337,"Occasional Numbness, Prickling, or Tingling of Fingers and Toes",140263
1338,Early Labor,140264
1339,Symptoms because a person has Stopped Smoking,140265
1340,Lack in Minerals,140266
1341,Deficiency of the Vitamin Niacin,140267
1342,Problems Getting Pregnant,140268
1343,Induction of Ovarian Follicle Maturation,140269
1344,Chronic Joint Inflammatory Disease in Children and Young Adults of Unknown Cause,140270
1345,Additional Agent Used During Echocardiography Imaging,140271
1346,X-Ray of Blood Vessels,140272
1347,X-Rays Done for Diagnostic Purposes,140273
1348,Prevention of Vitamin D Deficiency,140274
1349,MRI Scan,140275
1350,malignant tumor or cancer,140276
1351,Small Cell Cancer of the Lung,140277
1352,Squamous Cell Lung Cancer,140278
1353,Osteoarthritis of the Knee,140279
1354,Additional Local Anesthesia,140281
1355,Anxiety due to Heart Disease with Difficulty Breathing,140282
1356,Pain associated with Arthritis,140283
1357,Overweight,140284
1358,Cystic Fibrosis with Homozygous F508del Genetic Mutation in CFTR Gene,140285
1359,Weight Loss Management for Overweight or Obese Person,140286
1360,Hereditary Tyrosinemia Type I,140287
1361,Candidiasis Fungal Infection of the Oropharynx,140288
1362,Sore Mouth due to Dentures or Poor Oral Hygiene,140289
1363,Infiltration of White Blood Cells into the Lungs,140292
1364,Tourette's,140293
1365,Severe Difficult to Treat Nodular Rosacea,140294
1366,Calcium Oxalate Kidney Stones,140295
1367,Painful Sexual Intercourse due to Menopause,140296
1368,Vaginal Inflammation due to Loss of Hormone Stimulation,140297
1369,Moderate to Severe Plaque Psoriasis,140298
1370,Lennox-Gastaut Syndrome Treatment Adjunct,140299
1371,Treatment to Prevent Mineral Deficiency,140300
1372,Canker Sore,140301
1373,The Flu,140302
1374,Influenza Prevention,140303
1375,Nausea and Vomiting,140304
1376,Excessive Vomiting in Pregnancy,140305
1377,Prevent Radiation-Induced Nausea and Vomiting,140306
1378,Prevent Nausea and Vomiting After Surgery,140307
1379,Low Amount of Calcium in the Blood,140308
1380,Twisting Neck Spasms,140309
1381,Chronic Infection of Genotype 1 Hepatitis C Virus,140310
1382,Skin Inflammation,140311
1383,Coin Shaped Rash,140312
1384,Method of X-Raying the Spinal Canal Using Dye,140313
1385,Examination of the Bile Ducts and Pancreas,140314
1386,CT Scan of the Brain,140315
1387,"X-Ray of the Kidneys, Ureters or Bladder",140316
1388,Severe Inflammation of the Eye,140317
1389,Dilated Pupils During Eye Surgery,140318
1390,Treatment to Prevent Heartburn,140319
1391,Stress Ulcer Prevention,140320
1392,Ulcer of the Duodenum,140321
1393,Stomach Ulcer from Aspirin or Ibuprofen-Like Drugs,140322
1394,Increased Stomach Acid from Systemic Mastocytosis,140323
1395,Condition of Increased Mast Cells,140324
1396,Symptom in the Eye Associated with Allergic Rhinitis,140325
1397,Bronchospasm Prevention with COPD,140326
1398,Agitation associated with Schizophrenia,140327
1399,Agitation associated with Bipolar Mania,140328
1400,Bipolar I Disorder with Most Recent Episode Mixed,140329
1401,Basal Cell Carcinoma of the Skin,140330
1402,allergic rhinitis due to house dust mite,140331
1403,Chylothorax,140332
1404,Carcinoid Syndrome,140333
1405,An Abnormal Connection Between the Stomach and Intestine,140334
1406,Syndrome After Rapid Passage of Food Into Small Intestine,140335
1407,Absence of Gamma Globulins in the Blood,140336
1408,Low Platelet Count and Bleeding from Immune Response,140337
1409,Common Variable Agammaglobulinemia,140338
1410,Primary Immune Deficiency Disorder,140340
1411,Rare Progressive Liver Disease - Primary Biliary Cirrhosis,140341
1412,primary progressive multiple sclerosis,140342
1413,Acute Outer Ear Bacterial Infection due to Staphylococcus Aureus,140343
1414,Chronic Inflammation of Middle Ear with Discharge of Pus,140344
1415,Additional Medications to Treat Pain,140345
1416,Inflammation of the Urethra Not due to Gonorrhea,140347
1417,Progressive Chronic Lymphocytic Leukemia,140348
1418,Acute Bacterial Infection of the Sinuses,140349
1419,Bacterial Pneumoniae caused by Klebsiella Pneumoniae,140350
1420,Ulcer of the Cornea of the Eye with Bacterial Infection,140351
1421,Eye infection Caused by Bacteria,140352
1422,Prevention of Motion Sickness,140353
1423,Additional Agent to Induce General Anesthesia,140354
1424,Fluid in the Lungs,140355
1425,Drug Withdrawal Syndrome in Newborn Infant,140356
